고객번호,가공식품_구매지수,신선식품_구매지수,일상용품_구매지수,의약품/의료기기_구매지수,교육/문화용품_구매지수,외식_구매지수,기타_구매지수,디지털/가전_구매지수,가구/인테리어_구매지수,의류_구매지수,전문스포츠/레저_구매지수,패션잡화_구매지수,유아동_구매지수,명품_구매지수
00001,0.4,1.0,-0.19999999999999996,6.000000000000001,0.0,0.4,0.0,3.2,3.6,0.4,0.0,-0.19999999999999996,-1.4,2.4000000000000004
00002,0.4,0.0,0.8,7.000000000000001,0.0,-0.6000000000000001,0.0,-0.40000000000000036,-1.8000000000000003,0.8,0.0,-0.6000000000000001,0.6000000000000005,2.8000000000000003
00003,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0
00004,0.0,0.0,0.4,-1.6000000000000005,0.0,1.4000000000000001,0.0,0.0,2.8000000000000003,1.4000000000000001,0.0,0.8000000000000003,8.0,0.0
00006,0.0,0.4,1.0,0.0,0.0,1.4000000000000001,0.0,0.0,5.2,0.4,2.0,8.4,-2.4000000000000004,7.0
00007,0.0,0.0,2.4000000000000004,6.800000000000001,4.4,0.0,0.0,2.4000000000000004,8.8,-0.19999999999999996,4.800000000000001,-0.8,4.0,3.2
00008,1.0,0.0,0.0,0.0,2.0,0.4,0.0,1.2000000000000002,2.4000000000000004,1.4000000000000001,0.0,2.4000000000000004,2.0,5.0
00009,1.4000000000000001,2.4000000000000004,8.8,0.0,0.0,3.8,0.0,3.6,8.4,0.4,6.000000000000001,4.0,0.0,2.8000000000000003
00010,1.4000000000000001,0.0,1.0,0.8,-3.0,1.8,0.0,0.0,8.0,1.8,0.0,4.6000000000000005,0.0,2.4000000000000004
00011,0.4,-0.19999999999999996,1.0,-3.6000000000000005,-0.5999999999999996,0.4,-1.2000000000000006,-2.2,-3.0000000000000004,2.8000000000000003,2.0,4.0,3.8,-0.8000000000000007
00012,0.4,0.4,1.0,0.0,0.0,4.0,0.0,0.0,-3.0,4.800000000000001,0.0,4.4,0.0,0.0
00013,1.0,0.0,1.0,2.8000000000000003,7.0,0.4,-1.0,0.0,-3.0,1.8,-3.0,2.4000000000000004,1.6,0.0
00014,0.0,0.4,-0.19999999999999996,-1.2000000000000006,0.0,2.8000000000000003,5.2,2.8000000000000003,1.8,0.4,6.000000000000001,-0.6000000000000001,-3.0,7.000000000000001
00015,0.0,-0.19999999999999996,0.0,3.6,4.0,0.4,0.0,0.0,2.0,0.8,-1.6000000000000005,3.8,0.0,0.0
00016,1.0,1.0,6.4,0.0,6.000000000000001,3.4000000000000004,0.0,6.000000000000001,0.0,4.4,0.0,-1.0,6.000000000000001,5.0
00017,2.4000000000000004,1.2000000000000002,1.6,6.4,0.0,0.8,0.0,7.4,5.6,0.6000000000000001,0.0,0.4,0.0,10.200000000000001
00018,0.0,0.4,1.4000000000000001,0.0,0.0,0.4,0.0,-4.2,3.2,-4.800000000000001,4.800000000000001,-4.4,4.4,2.4000000000000004
00019,0.0,0.0,1.4000000000000001,0.0,0.0,-0.19999999999999996,0.0,0.0,0.0,1.8,6.0,1.8,0.0,8.4
00020,1.4000000000000001,0.0,1.4000000000000001,0.0,0.0,0.0,0.0,0.0,2.8000000000000003,1.8,4.0,2.4000000000000004,1.6,0.0
00021,1.4000000000000001,0.0,0.0,0.0,1.4000000000000001,0.0,0.0,-4.2,9.8,6.800000000000001,10.8,1.4000000000000001,2.4000000000000004,0.0
00022,0.0,-0.6000000000000001,3.0,0.0,0.0,1.4000000000000001,0.0,2.4000000000000004,0.0,2.4000000000000004,0.0,10.8,0.0,-0.6000000000000001
00023,0.4,-0.19999999999999996,1.8,0.0,2.0,0.4,0.0,-3.6000000000000005,2.8000000000000003,-0.6000000000000001,3.2,0.4,2.0,3.2
00024,0.4,0.0,1.0,0.0,0.0,8.8,0.0,0.0,3.4000000000000004,5.2,-0.8,2.4000000000000004,1.6,2.4000000000000004
00025,-0.19999999999999996,0.4,1.8,-3.0,0.0,0.4,0.0,0.0,0.0,1.8,0.0,1.4000000000000001,0.0,3.8
00026,1.4000000000000001,0.4,0.8,2.0,-0.5999999999999996,0.0,0.0,6.800000000000001,8.4,-0.6000000000000001,2.4000000000000004,1.8,-1.0,-0.6000000000000001
00027,0.4,0.4,-3.8000000000000007,0.0,0.0,0.4,0.0,0.0,6.000000000000001,0.4,0.0,2.4000000000000004,8.0,2.2
00028,0.0,1.8,1.0,0.0,1.6,2.0,0.0,0.0,0.0,-0.3999999999999999,0.0,2.4000000000000004,0.0,0.0
00029,1.4000000000000001,0.0,0.4,2.8000000000000003,0.0,0.4,0.0,1.2000000000000002,-4.2,0.4,0.0,0.0,4.4,9.600000000000001
00030,0.0,0.0,1.4000000000000001,0.0,1.6,1.0,0.0,2.0,7.800000000000001,1.4000000000000001,0.0,1.4000000000000001,0.0,10.200000000000001
00031,0.0,0.0,1.0,0.0,0.0,1.4000000000000001,0.0,2.0,2.4000000000000004,1.0,0.0,-1.4000000000000004,0.8,0.0
00032,0.4,1.0,1.8,6.000000000000001,-3.0,1.0,0.0,0.0,0.0,4.4,5.0,4.4,-2.0,0.0
00033,0.0,0.4,0.4,3.4000000000000004,0.0,1.4000000000000001,0.0,0.0,-0.5999999999999996,7.6000000000000005,-3.0,2.6,4.0,0.0
00034,0.0,-0.6000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,2.4000000000000004,1.4000000000000001,0.0,-3.2000000000000006,0.0,0.0
00035,1.4000000000000001,0.0,1.4000000000000001,0.0,0.0,1.4000000000000001,0.0,2.4000000000000004,2.4000000000000004,0.4,5.4,-0.19999999999999996,0.0,2.8000000000000003
00036,1.4000000000000001,1.0,1.8,1.6,0.0,1.0,0.0,4.2,1.2000000000000002,7.4,0.0,5.8,9.4,0.0
00037,1.4000000000000001,0.4,3.4000000000000004,0.0,0.0,2.0,0.0,6.000000000000001,0.0,0.4,0.0,1.8,4.0,2.4000000000000004
00038,1.0,0.4,1.0,1.6,6.4,1.0,0.0,4.4,2.8000000000000003,0.19999999999999996,1.4000000000000001,0.4,2.4000000000000004,0.0
00039,0.0,0.0,3.8000000000000007,0.0,0.0,1.0,0.0,0.0,-3.6000000000000005,-0.19999999999999996,0.0,-2.6000000000000005,2.0,2.8000000000000003
00040,1.0,0.0,1.0,0.0,0.0,1.4000000000000001,0.0,9.4,7.000000000000001,0.4,-1.6000000000000005,0.4,4.0,2.4000000000000004
00041,1.4000000000000001,0.4,1.4000000000000001,8.0,0.0,0.0,-3.6000000000000005,2.4000000000000004,2.8000000000000003,4.2,0.0,-1.2000000000000006,0.0,2.4000000000000004
00042,1.0,1.0,0.0,9.4,4.0,7.4,0.0,0.0,1.8,0.19999999999999996,6.0,1.2000000000000002,-3.0,0.0
00043,0.4,1.0,0.8,0.3999999999999999,1.6,4.4,0.0,0.0,0.0,-1.2000000000000006,4.0,-3.0,0.0,0.0
00044,1.0,0.4,5.6,0.0,0.0,1.4000000000000001,0.0,7.4,3.2,0.8,0.0,-0.6000000000000001,0.0,0.6000000000000001
00045,-0.19999999999999996,1.0,1.2000000000000002,0.0,3.6,1.4000000000000001,0.0,0.0,-3.6000000000000005,0.8,7.000000000000001,-0.8,1.6,8.8
00046,0.0,1.4000000000000001,1.2000000000000002,0.0,0.0,1.4000000000000001,0.0,-0.8000000000000007,6.2,1.4000000000000001,0.0,1.4000000000000001,0.0,2.6000000000000005
00047,0.0,0.0,1.0,-1.2000000000000006,4.0,-0.19999999999999996,2.0,2.0,2.0,0.19999999999999996,2.2,-1.8000000000000003,0.4,2.8000000000000003
00048,0.4,0.4,1.0,0.0,0.0,1.4000000000000001,2.0,-1.7999999999999998,10.4,-0.19999999999999996,-3.0,-0.19999999999999996,3.2,9.8
00049,1.4000000000000001,0.4,0.8,0.0,0.0,0.4,0.0,0.0,9.4,0.4,0.0,2.8000000000000003,8.0,2.6000000000000005
00050,0.4,1.4000000000000001,1.0,0.0,1.8,0.0,7.0,0.0,4.6000000000000005,0.8,-0.19999999999999973,-0.19999999999999996,1.4000000000000001,2.4000000000000004
00051,0.0,-0.6000000000000001,0.4,-1.8000000000000003,-0.3999999999999999,0.8,2.4000000000000004,-1.0,2.8000000000000003,2.4000000000000004,0.0,0.8,1.4000000000000001,0.0
00052,1.0,1.0,1.0,0.0,7.0,1.4000000000000001,0.0,-3.6000000000000005,2.8000000000000003,-0.6000000000000001,0.0,0.8,8.4,7.000000000000001
00053,1.0,0.0,5.4,0.0,0.0,1.4000000000000001,0.0,6.4,0.0,0.4,2.0,3.0,0.0,10.8
00054,0.0,0.4,1.4000000000000001,0.0,0.0,1.0,0.0,0.0,0.0,0.7999999999999998,0.0,-1.0,0.0,0.0
00055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4000000000000004,-1.0,0.3999999999999999,-2.4000000000000004,0.0,0.0
00056,0.4,-0.6000000000000001,1.8,2.0,2.0,0.8,0.0,2.0,9.8,0.8,0.0,0.4,4.800000000000001,5.000000000000001
00057,0.4,0.0,1.8,0.0,1.6,0.0,0.0,0.0,2.0,4.0,2.4000000000000004,2.0,0.0,2.0
00058,1.4000000000000001,1.0,1.8,0.0,3.2,0.0,0.0,3.6,2.4000000000000004,-0.6000000000000001,2.4000000000000004,2.4000000000000004,8.4,0.0
00059,1.0,1.0,0.4,0.0,0.0,0.0,0.0,2.4000000000000004,0.0,0.4,0.0,3.8000000000000007,0.0,8.4
00060,0.4,1.0,2.4000000000000004,4.2,-2.2,0.4,0.0,2.8000000000000003,-1.6000000000000005,1.4000000000000001,8.0,2.8000000000000003,2.0,0.0
00061,0.4,0.0,0.8,0.0,2.0,0.4,0.0,-3.0,1.8,-0.6000000000000001,4.4,-1.2000000000000006,2.4000000000000004,-3.6000000000000005
00062,1.0,0.0,-0.19999999999999996,0.0,-3.0,1.4000000000000001,0.0,5.0,6.000000000000001,1.4000000000000001,2.4000000000000004,-1.4000000000000004,3.0000000000000004,5.0
00063,1.0,0.0,1.0,0.0,0.0,1.4000000000000001,0.0,0.0,0.0,7.800000000000001,5.0,7.600000000000001,0.0,0.0
00064,0.0,0.0,-0.8,0.0,-0.3999999999999999,6.000000000000001,0.0,0.0,2.0,-0.7999999999999998,0.0,0.0,0.0,0.0
00065,0.0,0.4,1.0,0.0,0.0,1.8,6.4,2.8000000000000003,7.800000000000001,2.6,4.4,0.8,1.6,8.0
00066,1.0,1.0,0.4,0.0,-3.0,1.4000000000000001,0.0,-1.2000000000000006,2.0,-0.19999999999999996,6.000000000000001,-1.4,-0.20000000000000018,0.0
00067,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,7.0,7.800000000000001,2.0,2.0,0.0,0.0
00068,0.4,0.4,-0.6000000000000001,0.0,8.0,0.4,0.0,-2.5999999999999996,2.8000000000000003,-0.19999999999999996,0.0,-0.19999999999999996,5.2,-4.4
00069,1.0,0.0,0.0,-2.4000000000000004,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,-2.4000000000000004,0.0
00070,-3.6000000000000005,-3.6000000000000005,8.0,-3.6000000000000005,0.0,-1.2000000000000002,0.0,0.0,0.0,1.8,2.0,2.8000000000000003,2.0,0.4
00071,0.0,0.0,0.4,0.0,2.0,5.0,0.0,0.0,2.4000000000000004,2.0,0.0,0.0,0.0,0.0
00072,1.0,0.4,1.0,-1.2000000000000006,0.19999999999999996,3.4000000000000004,0.0,0.0,5.0,0.19999999999999996,4.800000000000001,4.4,5.4,0.0
00073,-0.8,3.8,0.4,-2.4000000000000004,-2.6000000000000005,2.8000000000000003,0.0,-0.40000000000000036,3.2,-0.19999999999999996,0.0,-0.6000000000000001,2.8000000000000003,0.4
00074,0.0,0.4,1.4000000000000001,6.000000000000001,0.0,0.0,0.0,2.4000000000000004,3.2,-0.19999999999999996,0.0,-0.19999999999999996,2.0,0.20000000000000018
00075,1.0,-1.2000000000000002,0.4,0.0,0.0,0.4,0.0,0.0,0.0,-0.3999999999999999,0.0,7.4,0.0,0.0
00076,0.0,0.0,0.8,0.0,9.200000000000001,2.8000000000000003,0.0,2.4000000000000004,8.8,1.0,0.0,-0.3999999999999999,-3.0,8.4
00077,1.0,0.0,0.4,0.0,1.2000000000000002,1.0,0.0,0.0,0.0,1.4000000000000001,2.0,-0.19999999999999996,4.0,-0.19999999999999973
00078,0.4,0.4,1.8,-4.2,0.0,1.0,0.0,7.4,0.8,1.0,2.4000000000000004,1.0,0.0,-0.6000000000000001
00079,1.4000000000000001,0.8,1.4000000000000001,0.0,-1.4,1.0,2.4000000000000004,0.0,2.0,-2.5999999999999996,2.4000000000000004,5.0,5.4,0.0
00080,0.0,1.4000000000000001,0.4,0.0,0.0,0.4,0.0,1.6,-2.5999999999999996,6.4,2.0,2.0,2.0,0.0
00081,1.0,0.0,1.4000000000000001,0.0,0.0,0.4,-1.2000000000000006,5.6000000000000005,2.8000000000000003,0.0,2.0,1.8,-1.4,3.4000000000000004
00082,0.0,0.4,2.8000000000000003,5.0,2.0,0.0,2.4000000000000004,5.0,6.2,-0.19999999999999996,6.000000000000001,-1.8000000000000003,6.4,6.6000000000000005
00083,1.0,0.0,1.8,0.0,0.0,0.4,0.0,4.0,3.2,0.8,4.4,1.8,0.0,2.8000000000000003
00084,1.0,0.8,1.0,0.0,4.0,0.0,0.0,6.6000000000000005,-2.4000000000000004,-0.6000000000000001,2.4000000000000004,-0.19999999999999996,-3.0,7.000000000000001
00085,2.0,1.8,1.4000000000000001,0.0,0.0,2.4000000000000004,0.0,6.000000000000001,0.0,1.2000000000000002,0.0,2.4000000000000004,0.0,0.0
00086,1.0,0.0,0.4,5.4,2.4000000000000004,1.0,0.0,6.000000000000001,3.2,0.4,7.4,6.800000000000001,5.0,5.0
00087,0.4,0.8,1.8,0.0,0.0,0.4,-1.0,2.0,-1.4000000000000004,10.8,0.0,-0.19999999999999996,6.0,0.0
00088,1.0,0.0,2.4000000000000004,0.0,1.6,1.4000000000000001,0.0,7.4,2.4000000000000004,-0.6000000000000001,-1.7999999999999998,1.2000000000000002,0.0,-3.6000000000000005
00089,1.0,1.0,1.4000000000000001,2.4000000000000004,6.6,0.8,0.0,2.4000000000000004,2.4000000000000004,0.19999999999999996,2.4000000000000004,5.4,3.2,0.0
00090,0.4,1.4000000000000001,1.0,0.0,0.0,0.4,0.0,5.2,6.800000000000001,0.4,2.4000000000000004,2.6000000000000005,4.800000000000001,0.0
00091,0.4,0.0,1.0,0.0,4.6000000000000005,1.0,0.0,0.0,-3.6000000000000005,0.4,0.0,6.000000000000001,2.4000000000000004,0.0
00092,0.0,0.0,0.0,0.0,6.000000000000001,1.0,8.0,8.4,-2.4000000000000004,0.4,4.800000000000001,2.0,2.0,-3.0
00093,-0.19999999999999996,2.6000000000000005,4.4,0.0,0.0,0.4,0.0,0.0,0.0,0.4,0.0,2.8000000000000003,-1.6000000000000005,10.8
00094,2.0,3.4000000000000004,1.0,0.0,0.0,4.4,0.0,2.8000000000000003,-1.0,7.000000000000001,0.0,6.4,2.4000000000000004,2.8000000000000003
00095,0.0,0.0,0.4,0.0,3.6,1.0,0.0,0.0,-1.4,-0.19999999999999996,0.0,-2.5999999999999996,4.0,2.0
00096,0.4,0.4,0.0,0.0,0.0,2.4000000000000004,0.0,2.0,0.0,-2.2,2.4000000000000004,-0.8000000000000007,0.0,2.4000000000000004
00097,-0.19999999999999996,-0.19999999999999996,1.0,1.6,4.4,1.2000000000000002,0.0,0.0,-4.4,0.0,8.2,0.19999999999999996,4.4,-0.40000000000000036
00098,0.4,0.0,0.4,0.0,2.4000000000000004,1.4000000000000001,0.0,-3.0,4.4,0.8,5.0,-1.2000000000000006,0.0,8.8
00099,0.0,0.4,1.0,0.0,5.4,1.4000000000000001,0.0,7.4,9.200000000000001,1.4000000000000001,7.0,1.4000000000000001,2.0,0.0
00100,0.4,0.4,0.19999999999999996,0.0,0.0,0.8,0.0,6.4,2.8000000000000003,0.4,0.0,-0.19999999999999996,0.3999999999999999,4.800000000000001
00101,0.0,0.4,1.8,0.0,0.0,0.8,0.0,0.0,0.0,-1.6000000000000005,0.0,-1.2000000000000006,0.0,0.0
00102,0.4,0.0,0.0,2.0,0.0,1.4000000000000001,0.0,1.2000000000000002,-1.0,0.19999999999999996,2.4000000000000004,0.4,0.0,-0.19999999999999996
00103,0.0,0.0,0.4,0.0,0.0,-0.5999999999999996,0.0,0.0,0.0,-2.5999999999999996,2.0,4.0,0.0,0.0
00104,1.0,0.4,0.4,0.0,0.0,-0.5999999999999996,0.0,0.0,0.0,5.4,0.0,1.6,8.0,0.0
00105,0.0,0.0,0.0,2.0,1.6,9.0,8.4,1.6,2.8000000000000003,1.4000000000000001,6.000000000000001,0.7999999999999998,7.0,0.0
00106,1.0,0.0,-0.19999999999999996,2.4000000000000004,1.4000000000000001,1.4000000000000001,0.0,0.0,7.000000000000001,-0.6000000000000001,8.4,3.4000000000000004,2.4000000000000004,5.2
00107,1.8,1.0,0.8,0.0,0.0,0.0,0.0,-2.4000000000000004,3.0,1.4000000000000001,8.4,2.8000000000000003,5.4,0.0
00108,0.0,0.0,2.4000000000000004,0.0,2.4000000000000004,1.4000000000000001,0.0,-3.6000000000000005,0.0,0.0,2.0,0.19999999999999996,2.0,4.0
00109,0.0,-0.6000000000000001,0.4,5.0,0.0,-1.2000000000000006,0.0,0.0,0.0,3.0,0.0,1.2000000000000002,1.8,0.0
00110,0.0,0.8,2.4000000000000004,0.0,2.4000000000000004,0.0,0.0,3.0,4.6000000000000005,0.8,0.0,2.8000000000000003,1.0,0.0
00111,0.0,0.4,1.0,0.0,5.0,6.000000000000001,0.0,0.0,2.4000000000000004,-2.5999999999999996,0.0,6.0,0.0,0.0
00112,0.0,1.4000000000000001,1.0,0.0,3.6,0.8,0.0,2.4000000000000004,-5.4,0.0,0.0,1.4000000000000001,8.0,0.0
00113,0.0,0.0,1.0,-3.6000000000000005,5.8,0.0,0.0,3.2,0.8,0.0,4.0,6.4,2.0,7.4
00114,0.4,0.4,0.4,0.0,0.0,1.4000000000000001,0.0,0.0,0.0,2.4000000000000004,-2.0000000000000004,0.8,7.4,-1.2000000000000006
00115,1.0,0.0,1.4000000000000001,0.0,0.0,1.0,0.0,4.2,3.6,0.8,0.0,7.800000000000001,-2.4000000000000004,11.200000000000001
00116,0.0,0.4,0.8,0.0,0.0,6.000000000000001,0.0,0.0,-3.6000000000000005,6.000000000000001,0.0,1.4000000000000001,-2.4000000000000004,0.0
00117,1.4000000000000001,0.8,2.0,7.4,0.0,0.0,0.0,6.800000000000001,5.8,1.8,2.0,2.0,0.0,8.8
00118,1.4000000000000001,0.4,1.4000000000000001,0.0,1.6,1.0,0.0,2.8000000000000003,3.8,0.4,0.0,-0.3999999999999999,-3.6000000000000005,0.8
00119,0.4,1.0,1.4000000000000001,2.4000000000000004,2.0,-0.6000000000000001,0.0,4.800000000000001,6.0,-0.6000000000000001,0.0,0.0,0.4,7.4
00120,0.4,0.0,0.8,-1.8000000000000003,0.0,0.0,7.000000000000001,2.8000000000000003,-0.8000000000000007,0.0,0.0,0.8,0.0,5.2
00121,0.4,0.4,2.4000000000000004,0.0,8.4,0.8,0.0,0.0,2.8000000000000003,0.19999999999999996,-3.6000000000000005,8.0,3.4000000000000004,-1.6000000000000005
00122,0.0,1.4000000000000001,1.0,2.0,2.4000000000000004,0.0,2.4000000000000004,2.4,10.8,0.4,5.6000000000000005,6.4,2.0,6.000000000000001
00123,0.0,0.4,0.8,2.4000000000000004,0.0,2.0,0.0,0.0,2.0,-2.0,1.0,-1.0,5.4,0.0
00124,0.0,1.0,0.4,0.0,2.0,0.4,0.0,3.6,-2.8000000000000003,0.4,0.0,0.8,0.0,9.4
00125,0.0,0.4,0.4,0.0,1.6,0.4,0.0,0.0,0.0,0.4,9.0,-1.2000000000000006,0.0,4.2
