고객번호,A_count지수,B_count지수,C_count지수,D_count지수
00001,-0.6000000000000001,4.0,1.6,0.0
00002,-0.19999999999999996,0.8,0.0,3.8000000000000007
00003,0.4,0.4,-0.6000000000000001,0.0
00004,0.8,4.4,2.0,0.0
00006,0.0,1.4000000000000001,0.3999999999999999,0.0
00007,-0.19999999999999996,-1.0000000000000002,5.0,0.0
00008,1.4000000000000001,3.8,0.0,0.0
00009,2.4000000000000004,0.4,0.8,0.0
00010,0.19999999999999996,5.8,0.8,0.8
00011,0.8,-2.0,-1.0000000000000002,0.0
00012,2.2,0.19999999999999996,0.0,6.6
00013,-0.6000000000000001,1.0,4.800000000000001,0.0
00014,1.0,0.19999999999999996,0.8,0.0
00015,-0.8,0.0,1.0,0.0
00016,1.0,3.4000000000000004,0.0,0.0
00017,1.8,3.2,4.4,0.0
00018,-0.19999999999999996,-0.3999999999999999,3.0,0.0
00019,0.8,0.8,0.4,2.0
00020,-0.6000000000000001,0.0,0.4,0.0
00021,0.4,1.4000000000000001,0.4,0.0
00022,-0.3999999999999999,0.0,0.0,0.0
00023,-0.19999999999999996,0.3999999999999999,-2.0,0.0
00024,2.8000000000000003,0.4,0.0,1.0
00025,1.8,1.6,0.8,0.0
00026,0.4,6.0,-1.8000000000000003,0.8
00027,1.0,4.0,0.0,0.0
00028,2.2,1.8,0.4,0.0
00029,0.0,2.8000000000000003,2.2,0.0
00030,1.4000000000000001,0.8,0.4,0.0
00031,0.8,0.8,0.4,1.0
00032,0.19999999999999996,2.4000000000000004,0.0,0.0
00033,0.19999999999999996,1.4000000000000001,2.8000000000000003,0.0
00034,-1.2000000000000002,0.0,1.6,0.0
00035,3.0000000000000004,0.19999999999999996,0.0,0.4
00036,1.4000000000000001,-1.0000000000000002,4.0,0.0
00037,2.8000000000000003,1.2000000000000002,1.0,0.0
00038,2.8000000000000003,0.4,1.2000000000000002,0.0
00039,1.4000000000000001,0.0,1.2000000000000002,0.0
00040,1.4000000000000001,0.6000000000000001,-2.4000000000000004,0.0
00041,1.8,4.2,2.2,0.0
00042,1.2000000000000002,2.4000000000000004,0.8,0.0
00043,0.6000000000000001,1.0,0.0,0.0
00044,0.8,2.2,2.2,0.0
00045,1.6,2.6,2.0,0.0
00046,0.4,2.2,0.4,0.0
00047,2.0,0.19999999999999996,0.0,0.0
00048,0.4,5.0,0.8,0.0
00049,0.0,-0.19999999999999996,0.0,0.0
00050,-0.19999999999999996,2.6,2.4000000000000004,0.0
00051,0.8,0.6000000000000001,0.0,2.8000000000000003
00052,0.0,0.4,-0.19999999999999996,0.0
00053,0.4,5.0,-2.5999999999999996,0.0
00054,1.0,0.4,-1.2000000000000002,0.4
00055,1.0,2.2,-0.6000000000000001,0.0
00056,-0.6000000000000001,1.2000000000000002,2.0,0.0
00057,0.4,3.8000000000000007,-0.6000000000000001,0.0
00058,0.0,-1.2000000000000002,0.0,0.0
00059,0.4,-0.3999999999999999,-0.6000000000000001,0.0
00060,1.4000000000000001,1.0,0.8,0.0
00061,0.19999999999999996,1.2000000000000002,1.8,0.0
00062,0.8,1.2000000000000002,4.2,0.0
00063,0.0,0.0,0.0,0.0
00064,0.4,-1.4000000000000004,0.0,0.0
00065,0.19999999999999996,0.8,0.4,0.0
00066,1.4000000000000001,0.4,1.2000000000000002,0.0
00067,0.8,2.4000000000000004,0.4,0.0
00068,0.6000000000000001,1.4000000000000001,-0.6000000000000001,0.0
00069,0.4,1.0,0.0,0.0
00070,-2.0,0.4,0.0,0.0
00071,-0.6000000000000001,1.4000000000000001,0.19999999999999996,0.0
00072,1.2000000000000002,2.0,0.8,0.0
00073,0.8,0.3999999999999999,-1.2000000000000002,0.0
00074,0.6000000000000001,2.2,3.2,0.0
00075,2.4000000000000004,0.0,-1.2000000000000002,0.0
00076,1.8,-2.5999999999999996,3.6,0.0
00077,0.4,6.6,0.0,0.0
00078,2.2,1.2000000000000002,2.0,0.0
00079,2.4000000000000004,0.8,2.2,0.0
00080,1.0,1.4000000000000001,0.4,0.0
00081,1.4000000000000001,1.4000000000000001,1.2000000000000002,0.0
00082,1.0,0.4,3.2,0.0
00083,2.4000000000000004,-0.3999999999999999,0.0,0.0
00084,0.19999999999999996,0.19999999999999973,0.8,0.0
00085,1.8,0.0,-0.6000000000000001,2.8000000000000003
00086,3.4000000000000004,0.8,3.0000000000000004,0.0
00087,0.8,0.19999999999999996,1.2000000000000002,0.0
00088,3.2,0.8,1.4000000000000001,0.0
00089,1.8,1.4000000000000001,1.8,0.4
00090,1.4000000000000001,1.6,0.8,0.0
00091,0.8,2.2,0.6000000000000001,0.0
00092,1.4000000000000001,0.4,-0.19999999999999996,0.0
00093,1.6,0.0,0.8,0.0
00094,6.2,2.0,1.6,0.0
00095,-0.19999999999999996,1.4000000000000001,2.4000000000000004,-1.2000000000000002
00096,0.8,3.0000000000000004,0.0,0.0
00097,-0.19999999999999996,0.0,0.8,0.0
00098,0.8,0.3999999999999999,0.0,0.4
00099,1.4000000000000001,1.2000000000000002,0.19999999999999996,0.0
00100,1.8,-0.19999999999999996,0.8,0.0
00101,0.8,0.4,0.8,0.0
00102,-0.19999999999999996,-0.19999999999999996,0.4,0.0
00103,1.6,1.2000000000000002,0.4,0.0
00104,2.2,1.4000000000000001,2.0,0.0
00105,5.2,0.4,0.8,0.0
00106,1.2000000000000002,4.6000000000000005,0.0,0.0
00107,0.4,0.8,1.4000000000000001,0.0
00108,1.4000000000000001,4.6000000000000005,0.0,0.0
00109,0.8,0.6000000000000001,-0.6000000000000001,0.0
00110,-0.6000000000000001,0.8,3.2,0.4
00111,1.2000000000000002,1.2000000000000002,0.4,0.0
00112,2.4000000000000004,2.0,3.0000000000000004,0.0
00113,1.4000000000000001,0.4,1.8,0.0
00114,0.8,0.0,0.19999999999999996,1.4000000000000001
00115,-0.19999999999999996,0.0,2.0,0.0
00116,0.0,0.3999999999999999,0.0,0.0
00117,-0.6000000000000001,4.6000000000000005,0.8,0.8
00118,0.8,1.2000000000000002,0.4,0.0
00119,1.2000000000000002,2.0,2.6,0.0
00120,1.4000000000000001,1.8,0.4,0.0
00121,0.8,5.0,0.0,0.8
00122,2.0,4.2,1.2000000000000002,0.0
00123,2.6,0.4,0.0,0.0
00124,0.4,-0.3999999999999999,0.8,1.2000000000000002
00125,-0.8,0.6000000000000001,1.0,0.0
00126,0.19999999999999996,1.4000000000000001,-1.2000000000000002,0.0
00127,1.2000000000000002,5.2,0.0,0.0
00128,0.4,0.4,-0.19999999999999996,0.0
00129,2.8000000000000003,2.4000000000000004,-0.8,0.0
00130,-1.2000000000000002,1.6,2.4000000000000004,0.0
00131,2.4000000000000004,2.4000000000000004,0.19999999999999996,0.0
00132,1.2000000000000002,-0.8,1.6,0.0
00133,0.4,0.8,0.8,0.0
00134,1.4000000000000001,2.0,1.2000000000000002,0.0
00135,0.4,1.2000000000000002,0.19999999999999996,0.0
00136,3.2,1.6,1.0,0.0
00137,0.0,1.6,1.0,0.0
00138,0.8,1.4000000000000001,0.0,0.0
00139,0.8,1.4000000000000001,5.4,0.8
00140,-0.6000000000000001,-0.3999999999999999,-1.2000000000000002,0.0
00141,0.4,2.0,0.4,0.0
00143,1.0,1.4000000000000001,0.0,0.4
00144,7.0,7.600000000000001,-2.4000000000000004,0.0
00145,1.4000000000000001,-0.7999999999999998,2.4000000000000004,0.0
00146,-0.6000000000000001,0.0,0.0,0.0
00147,0.4,2.4000000000000004,1.2000000000000002,0.0
00148,0.4,0.4,0.4,0.0
00149,-0.19999999999999996,1.8,-1.2000000000000002,0.0
00150,2.6,0.8,0.0,0.0
00151,0.4,0.8,0.8,0.0
00152,0.4,0.4,-2.4000000000000004,0.0
00153,0.4,1.0,0.0,-0.6000000000000001
00154,0.4,3.6,-1.2000000000000002,0.0
00155,-0.6000000000000001,5.6000000000000005,0.0,0.0
00156,0.4,0.8,0.0,0.0
00157,0.0,0.0,0.4,-0.6000000000000001
00158,0.8,5.2,0.8,1.2000000000000002
00159,0.8,1.4000000000000001,3.0000000000000004,0.0
00160,1.0,1.8,0.0,0.0
00161,-0.3999999999999999,1.0,-0.6000000000000001,0.0
00162,0.8,0.4,-0.6000000000000003,0.0
00163,3.2,1.6,-0.6000000000000001,1.6
00164,1.4000000000000001,7.800000000000001,4.0,0.0
00165,1.8,2.8000000000000003,0.0,0.0
00166,2.4000000000000004,4.2,0.4,0.0
00167,0.8,0.0,0.0,1.2000000000000002
00168,1.2000000000000002,0.8,2.2,0.0
00169,2.2,2.2,4.6000000000000005,0.0
