고객번호,A_sum지수,B_sum지수,C_sum지수,D_sum지수
00001,-0.6000000000000001,3.0,6.800000000000001,0.0
00002,-0.19999999999999996,3.0,0.0,8.0
00003,2.0,1.6,0.4,0.0
00004,0.4,7.4,1.4000000000000001,0.0
00006,1.4000000000000001,1.0,-1.2000000000000006,0.0
00007,0.4,1.4000000000000001,0.0,0.0
00008,0.4,5.4,0.0,0.0
00009,0.0,1.6,0.0,0.0
00010,1.2000000000000002,4.6000000000000005,0.0,7.000000000000001
00011,0.4,-3.6000000000000005,-0.6000000000000001,0.0
00012,0.8,1.4000000000000001,0.0,6.800000000000001
00013,0.0,2.0,5.4,0.0
00014,0.0,0.0,0.4,0.0
00015,0.4,1.0,0.19999999999999996,0.0
00016,0.8,6.4,0.0,0.0
00017,0.4,4.2,6.000000000000001,0.0
00018,-0.8,4.0,6.4,0.0
00019,0.0,1.6,1.6,0.0
00020,0.4,5.0,5.0,0.0
00021,6.4,1.0,1.6,0.0
00022,-0.6000000000000001,0.0,0.0,0.0
00023,0.4,-0.5999999999999996,-1.2000000000000002,0.0
00024,6.800000000000001,1.0,0.0,0.0
00025,1.8,8.0,1.0,0.0
00026,-0.6000000000000001,9.0,-3.0,2.8000000000000003
00027,-0.19999999999999996,4.0,4.6000000000000005,0.0
00028,3.4000000000000004,1.0,1.6,0.0
00029,-0.19999999999999996,2.0,2.0,0.0
00030,1.4000000000000001,2.0,0.0,0.0
00031,-0.19999999999999996,1.6,1.6,0.0
00032,0.4,2.0,0.0,0.0
00033,2.0,0.4,0.4,0.0
00034,0.0,5.0,-1.6,0.0
00035,0.4,1.4000000000000001,0.0,2.8000000000000003
00036,0.4,-2.5999999999999996,3.0,0.0
00037,0.4,2.0,0.0,0.0
00038,0.0,1.4000000000000001,0.4,0.0
00039,-0.19999999999999996,0.0,7.0,0.0
00040,0.4,0.4,-1.2000000000000002,0.0
00041,0.0,1.4000000000000001,6.4,0.0
00042,1.4000000000000001,2.0,4.6000000000000005,0.0
00043,-1.2000000000000006,1.0,-2.0,0.0
00044,0.4,2.0,0.4,0.0
00045,0.4,1.4000000000000001,0.0,0.0
00046,-0.19999999999999996,-2.0,2.0,0.0
00047,0.4,1.0,-0.20000000000000018,0.0
00048,0.8,6.0,0.4,0.0
00049,-0.19999999999999996,-0.7999999999999998,0.0,0.0
00050,0.0,2.0,1.4000000000000001,0.0
00051,0.0,-0.19999999999999996,0.0,8.4
00052,0.0,1.6,1.4000000000000001,0.0
00053,0.4,0.0,0.0,0.0
00054,-0.6000000000000001,2.0,-3.0,2.4000000000000004
00055,0.0,-0.5999999999999996,-0.6000000000000001,0.0
00056,0.4,2.0,7.4,0.0
00057,2.0,2.8000000000000003,-0.6000000000000001,0.0
00058,0.0,-2.4000000000000004,0.0,0.0
00059,0.0,-2.2,-3.0,0.0
00060,1.4000000000000001,2.0,4.4,0.0
00061,-0.6000000000000001,1.0,0.4,0.0
00062,1.4000000000000001,0.4,2.0,0.0
00063,0.0,5.0,0.0,0.0
00064,5.0,1.4000000000000001,0.0,0.0
00065,0.4,1.4000000000000001,2.0,0.0
00066,-0.6000000000000001,2.0,3.6,0.0
00067,7.800000000000001,2.0,2.0,0.0
00068,-0.3999999999999999,1.0,-3.0,0.0
00069,4.0,2.0,0.0,0.0
00070,0.4,1.6,-0.5999999999999996,0.0
00071,-3.0,1.0,0.0,0.0
00072,1.4000000000000001,1.0,4.0,0.0
00073,0.0,-3.2000000000000006,-3.0,0.0
00074,0.4,2.0,4.0,0.0
00075,0.0,-2.4000000000000004,-0.6000000000000001,0.0
00076,1.4000000000000001,0.4,0.8,0.0
00077,0.0,3.0000000000000004,0.0,0.0
00078,0.8,1.8,7.4,0.0
00079,0.0,1.4000000000000001,-3.0,0.0
00080,1.0,1.4000000000000001,-0.6000000000000001,0.0
00081,0.8,0.4,6.0,0.0
00082,0.4,1.0,4.800000000000001,0.0
00083,1.4000000000000001,1.0,0.0,0.0
00084,0.19999999999999996,4.2,2.0,0.0
00085,1.0,0.0,-3.0,2.8000000000000003
00086,1.0,1.4000000000000001,1.6,0.0
00087,-0.19999999999999996,-1.0,1.4000000000000001,0.0
00088,0.4,0.4,1.6,0.0
00089,0.8,2.0,1.0,2.0
00090,0.4,5.8,2.4000000000000004,0.0
00091,0.4,4.6000000000000005,-0.6000000000000001,0.0
00092,0.0,1.0,-0.6000000000000001,0.0
00093,0.4,0.0,2.0,0.0
00094,2.8000000000000003,-2.2,6.000000000000001,0.0
00095,-0.6000000000000001,1.0,1.0,-3.0
00096,0.4,0.0,0.0,0.0
00097,0.4,-0.8000000000000007,1.8,0.0
00098,0.0,0.8,0.0,5.0
00099,0.4,1.0,-0.3999999999999999,0.0
00100,0.4,0.4,-2.0,0.0
00101,0.0,1.4000000000000001,4.0,0.0
00102,-0.6000000000000001,1.0,-0.6000000000000001,0.0
00103,-2.5999999999999996,-0.6000000000000001,0.4,0.0
00104,3.4000000000000004,1.0,8.600000000000001,0.0
00105,5.8,1.0,2.0,0.0
00106,-0.6000000000000001,2.4000000000000004,2.6,0.0
00107,1.0,1.6,-0.19999999999999996,0.0
00108,0.4,2.4000000000000004,0.0,0.0
00109,-1.0,4.4,-0.6000000000000001,0.0
00110,0.0,0.4,1.8,6.000000000000001
00111,7.0,1.8,0.4,0.0
00112,0.19999999999999996,2.0,0.0,0.0
00113,0.0,0.4,5.0,0.0
00114,0.0,1.8,0.4,2.4000000000000004
00115,0.8,0.0,4.800000000000001,0.0
00116,0.4,-0.5999999999999996,1.4000000000000001,0.0
00117,0.4,7.000000000000001,0.0,8.0
00118,1.0,2.0,2.0,0.0
00119,0.8,-1.0,0.4,0.0
00120,0.0,1.4000000000000001,2.0,0.0
