고객번호,가공식품_방문지수,신선식품_방문지수,일상용품_방문지수,의약품/의료기기_방문지수,교육/문화용품_방문지수,외식_방문지수,기타_방문지수,디지털/가전_방문지수,가구/인테리어_방문지수,의류_방문지수,전문스포츠/레저_방문지수,패션잡화_방문지수,유아동_방문지수,명품_방문지수
00001,0.19999999999999996,-0.8,-2.2,0.4,0.0,0.8,0.0,4.0,1.8,0.8,0.0,2.4000000000000004,-0.19999999999999996,0.4
00002,-0.19999999999999996,-0.6000000000000001,0.4,0.8,0.0,1.4000000000000001,0.0,2.4000000000000004,1.8,2.0,0.0,1.2000000000000002,3.4000000000000004,1.6
00003,0.4,0.8,1.8,0.0,0.0,0.0,0.0,0.4,0.0,0.4,0.0,0.0,0.0,0.0
00004,0.8,-0.19999999999999996,0.4,0.8,0.0,2.6,0.0,0.0,2.8000000000000003,3.2,1.0,1.2000000000000002,0.8,0.0
00006,1.8,1.2000000000000002,0.8,0.0,1.0,-1.4000000000000004,0.0,0.0,4.0,3.2,0.4,4.6000000000000005,-0.6000000000000001,2.8000000000000003
00007,0.4,-0.6000000000000001,2.8000000000000003,2.2,2.2,0.8,0.0,1.8,2.6,-0.19999999999999996,0.8,-0.8,1.2000000000000002,3.6
00008,1.4000000000000001,0.0,1.0,0.0,0.4,0.19999999999999996,0.0,0.19999999999999996,0.4,2.2,0.0,3.2,1.2000000000000002,0.8
00009,1.8,3.0000000000000004,4.4,0.0,0.0,3.6,0.0,3.0,1.8,1.2000000000000002,0.8,2.2,0.0,2.6
00010,0.4,-0.6000000000000001,0.4,1.8,-0.6000000000000001,1.2000000000000002,0.0,0.0,1.2000000000000002,2.0,1.0,1.6,0.0,0.8
00011,-0.19999999999999996,-0.3999999999999999,-0.19999999999999996,-0.6000000000000001,1.2000000000000002,1.2000000000000002,0.19999999999999996,-0.8,-2.0,-0.19999999999999973,0.4,0.3999999999999999,0.0,0.19999999999999996
00012,0.8,0.8,1.8,0.0,0.0,1.2000000000000002,0.0,0.0,-0.6000000000000001,2.6,0.0,0.19999999999999996,0.0,0.0
00013,1.4000000000000001,0.4,0.19999999999999996,0.4,2.0,2.2,-0.19999999999999996,0.0,3.4000000000000004,0.6000000000000001,-0.6000000000000001,0.6000000000000001,1.4000000000000001,0.0
00014,0.4,0.4,-0.3999999999999999,-0.19999999999999996,0.0,2.8000000000000003,0.8,0.19999999999999996,-1.6,0.6000000000000001,0.4,2.2,-1.2000000000000002,1.4000000000000001
00015,0.4,-0.6000000000000001,1.4000000000000001,0.8,0.4,0.6000000000000001,0.0,0.0,2.8000000000000003,-2.0000000000000004,-0.8,1.6,0.0,0.0
00016,1.0,0.8,2.6,0.0,0.4,2.8000000000000003,0.0,0.4,0.0,2.0,0.0,4.6000000000000005,0.8,0.4
00017,1.2000000000000002,2.6,2.2,0.8,0.0,2.6,0.0,2.4000000000000004,0.19999999999999996,1.2000000000000002,0.0,2.2,0.0,3.0
00018,0.19999999999999996,0.8,-0.8,0.0,0.0,0.19999999999999996,0.0,-1.2000000000000002,0.4,-0.7999999999999998,0.8,-1.6,0.8,0.8
00019,-0.19999999999999996,0.6000000000000001,1.4000000000000001,0.0,0.0,0.19999999999999996,0.0,3.0000000000000004,0.0,3.6,1.4000000000000001,-0.8,0.0,1.2000000000000002
