고객번호,분기_count지수
00001,-0.6000000000000001
00002,4.0
00003,-2.4000000000000004
00004,5.4
00006,-0.3999999999999999
00007,2.0
00008,-0.6000000000000001
00009,4.0
00010,-2.4000000000000004
00011,5.4
00012,-0.3999999999999999
00013,2.0
00014,-0.6000000000000001
00015,4.0
00016,-2.4000000000000004
00017,5.4
00018,-0.3999999999999999
00019,2.0
00020,-0.6000000000000001
00021,4.0
00022,-2.4000000000000004
00023,5.4
00024,-0.3999999999999999
00025,2.0
00026,-0.6000000000000001
00027,4.0
00028,-2.4000000000000004
00029,5.4
00030,-0.3999999999999999
00031,3.6
00032,-0.6000000000000001
00033,5.6
00034,-2.4000000000000004
00035,5.4
00036,-0.3999999999999999
00037,3.6
00038,-0.6000000000000001
00039,5.6
00040,-2.4000000000000004
00041,5.4
00042,-0.3999999999999999
00043,3.6
00044,2.8000000000000003
00045,3.4000000000000004
00046,3.6
00047,5.0
00048,4.4
00049,4.2
00050,2.8000000000000003
00051,3.4000000000000004
00052,3.6
00053,5.0
00054,4.4
00055,4.2
00056,2.8000000000000003
00057,3.4000000000000004
00058,3.6
00059,-1.0
00060,4.4
00061,-1.7999999999999998
00062,2.8000000000000003
00063,-2.5999999999999996
00064,3.6
00065,-1.0
00066,4.4
00067,-1.7999999999999998
00068,2.8000000000000003
00069,-2.5999999999999996
00070,3.6
00071,-1.0
00072,5.4
00073,5.6000000000000005
00074,3.4000000000000004
00075,6.4
00076,4.2
00077,4.800000000000001
00078,5.4
00079,5.6000000000000005
00080,3.4000000000000004
00081,6.4
00082,4.2
00083,4.800000000000001
00084,5.4
00085,5.6000000000000005
00086,1.2000000000000002
00087,3.8
00088,1.2000000000000002
00089,3.8000000000000007
00090,0.8000000000000003
00091,3.4000000000000004
00092,1.2000000000000002
00093,3.8
00094,1.2000000000000002
00095,3.8000000000000007
00096,0.8000000000000003
00097,3.4000000000000004
00098,1.2000000000000002
00099,3.8
00100,1.4000000000000001
00101,1.4000000000000001
00102,4.0
00103,1.4000000000000001
00104,1.4000000000000001
00105,4.0
00106,1.4000000000000001
00107,1.4000000000000001
00108,4.0
00109,1.4000000000000001
00110,1.4000000000000001
00111,4.0
00112,1.4000000000000001
00113,1.4000000000000001
00114,3.2
00115,2.2
