고객번호,분기_sum지수
00001,-0.6000000000000001
00002,3.4000000000000004
00003,-2.8000000000000007
00004,3.4000000000000004
00006,0.5999999999999996
00007,0.0
00008,-0.6000000000000001
00009,3.4000000000000004
00010,-2.8000000000000007
00011,3.4000000000000004
00012,0.5999999999999996
00013,0.0
00014,-0.6000000000000001
00015,3.4000000000000004
00016,-2.8000000000000007
00017,3.4000000000000004
00018,0.5999999999999996
00019,0.0
00020,-0.6000000000000001
00021,3.4000000000000004
00022,-2.8000000000000007
00023,3.4000000000000004
00024,0.5999999999999996
00025,0.0
00026,-0.6000000000000001
00027,3.4000000000000004
00028,-2.8000000000000007
00029,3.4000000000000004
00030,0.5999999999999996
00031,1.2000000000000002
00032,-0.6000000000000001
00033,4.6000000000000005
00034,-2.8000000000000007
00035,3.4000000000000004
00036,0.5999999999999996
00037,1.2000000000000002
00038,-0.6000000000000001
00039,4.6000000000000005
00040,-2.8000000000000007
00041,3.4000000000000004
00042,0.5999999999999996
00043,1.2000000000000002
00044,1.2000000000000002
00045,1.6
00046,2.4000000000000004
00047,2.8000000000000003
00048,2.8000000000000003
00049,1.6
00050,1.2000000000000002
00051,1.6
00052,2.4000000000000004
00053,2.8000000000000003
00054,2.8000000000000003
00055,1.6
00056,1.2000000000000002
00057,1.6
00058,5.0
00059,1.0
00060,5.4
00061,-0.19999999999999996
00062,3.8000000000000007
00063,-0.19999999999999996
00064,5.0
00065,1.0
00066,5.4
00067,-0.19999999999999996
00068,3.8000000000000007
00069,-0.19999999999999996
00070,5.0
00071,1.0
00072,1.4000000000000001
00073,1.4000000000000001
00074,1.8
00075,2.2
00076,0.6000000000000001
00077,2.6
00078,1.4000000000000001
00079,1.4000000000000001
00080,1.8
00081,2.2
00082,0.6000000000000001
00083,2.6
00084,1.4000000000000001
00085,1.4000000000000001
00086,0.8
00087,3.6
00088,0.19999999999999996
00089,2.8000000000000003
00090,1.6
00091,1.8
00092,0.8
00093,3.6
00094,0.19999999999999996
00095,2.8000000000000003
00096,1.6
00097,1.8
00098,0.8
00099,3.6
00100,0.6000000000000001
00101,0.8
00102,2.6
00103,0.6000000000000001
00104,0.8
00105,2.6
00106,0.6000000000000001
00107,0.8
00108,2.6
00109,0.6000000000000001
00110,0.8
00111,2.6
00112,0.6000000000000001
00113,0.8
00114,2.6
00115,0.6000000000000001
00116,1.2000000000000002
00117,2.6
00118,0.6000000000000001
00119,1.2000000000000002
00120,2.6
00121,0.6000000000000001
00122,1.2000000000000002
00123,2.6
00124,0.6000000000000001
00125,1.2000000000000002
00126,2.6
00127,0.6000000000000001
00128,1.2000000000000002
00129,1.8
00130,0.8
00131,1.2000000000000002
00132,1.8
00133,0.4
00134,1.2000000000000002
00135,1.8
00136,0.8
00137,1.2000000000000002
00138,1.8
00139,0.4
00140,1.2000000000000002
00141,1.8
00143,0.0
00144,1.4000000000000001
00145,-0.8
00146,1.4000000000000001
00147,-0.3999999999999999
00148,1.4000000000000001
00149,0.0
00150,1.4000000000000001
00151,-0.8
00152,1.4000000000000001
00153,-0.3999999999999999
00154,1.4000000000000001
00155,0.0
00156,1.4000000000000001
00157,-0.19999999999999996
00158,0.8
00159,-1.8000000000000003
00160,2.0
00161,-1.0000000000000002
00162,0.8
00163,-0.19999999999999996
00164,0.8
00165,-1.8000000000000003
00166,2.0
00167,-1.0000000000000002
00168,0.8
00169,-0.19999999999999996
00170,0.8
00171,-0.8
00172,2.4000000000000004
00173,-0.8
00175,0.4
00176,0.4
00177,0.4
00178,-0.8
00179,2.4000000000000004
00180,-0.8
00181,0.4
00182,0.4
00183,0.4
00184,-0.8
00185,2.4000000000000004
00186,-0.8
00187,1.2000000000000002
00188,0.4
00189,1.2000000000000002
00190,-0.8
00191,3.2
00192,-0.8
00193,1.2000000000000002
00194,0.4
00195,1.2000000000000002
00196,-0.8
00197,3.2
00198,-0.8
00199,1.2000000000000002
00200,-0.19999999999999996
00201,2.6
00202,-3.2000000000000006
00203,4.6000000000000005
00204,-1.4000000000000004
00205,0.3999999999999999
00206,-0.19999999999999996
00207,2.6
00208,-3.2000000000000006
00209,4.6000000000000005
00210,-1.4000000000000004
00211,0.3999999999999999
00212,-0.19999999999999996
00213,2.6
00214,-3.2000000000000006
00215,3.8000000000000007
00216,-1.0000000000000002
00217,1.2000000000000002
00218,1.0
00219,1.8
00220,-3.2000000000000006
00221,3.8000000000000007
00222,-1.0000000000000002
00223,1.2000000000000002
00224,1.0
00225,1.8
00226,-3.2000000000000006
00227,3.8000000000000007
00228,1.4000000000000001
00229,3.4000000000000004
00230,2.8000000000000003
00231,1.0
00232,1.8
00233,2.0
00234,1.4000000000000001
00235,3.4000000000000004
00236,2.8000000000000003
00237,1.0
00238,1.8
00239,2.0
00240,1.4000000000000001
00241,3.4000000000000004
00242,2.6
00243,-0.3999999999999999
00245,5.4
00246,-1.4000000000000004
00247,2.8000000000000003
00248,3.4000000000000004
00249,2.6
00250,-0.3999999999999999
00251,5.4
00252,-1.4000000000000004
00253,2.8000000000000003
00254,3.4000000000000004
00255,2.6
00256,-0.3999999999999999
00257,6.2
00258,-1.0000000000000002
00259,2.8000000000000003
00260,3.0
00261,2.2
00262,-0.3999999999999999
00263,6.2
00264,-1.0000000000000002
00265,2.8000000000000003
00266,3.0
00267,2.2
00268,-0.3999999999999999
00269,6.2
00270,-1.0000000000000002
00271,-1.0000000000000002
00272,2.0
00273,1.4000000000000001
00274,-1.0000000000000002
00275,1.6
00276,2.2
00277,-1.0000000000000002
00278,1.6
00279,1.4000000000000001
00280,-0.6000000000000003
00281,1.6
00282,1.4000000000000001
00283,-1.0000000000000002
00284,2.0
00285,1.8
00286,-0.6000000000000003
00287,2.0
00288,2.6
00289,-0.6000000000000003
00290,2.0
00291,1.8
00292,-0.20000000000000018
00293,2.0
00294,1.8
00295,-0.6000000000000003
00296,2.4000000000000004
00297,1.8
00298,-0.6000000000000003
00299,1.2000000000000002
00300,2.6
00301,-0.20000000000000018
00302,1.2000000000000002
00303,2.6
00304,-0.6000000000000003
00305,1.2000000000000002
00306,2.6
00307,-0.20000000000000018
00308,1.6
00309,2.6
00310,-0.20000000000000018
00311,1.2000000000000002
00312,2.6
00313,3.0
00314,-0.6000000000000003
00315,1.0
00316,2.6
00317,-0.20000000000000018
00318,-0.6000000000000003
00319,3.0
00320,-0.6000000000000003
00321,1.0
00322,2.6
00323,-0.20000000000000018
00324,-0.6000000000000003
00325,3.0
00326,-0.6000000000000003
00327,0.19999999999999973
00328,2.6
00329,-0.20000000000000018
00330,-1.4000000000000004
00331,3.0
00332,-0.6000000000000003
00333,0.19999999999999973
00334,2.6
00335,-0.20000000000000018
00336,-1.4000000000000004
00337,3.0
00338,-0.6000000000000003
00339,0.19999999999999973
00340,2.6
00341,-1.0000000000000002
00342,-0.6000000000000003
00343,3.0
00344,-1.0000000000000002
00345,-0.6000000000000003
00346,3.0
00347,-1.0000000000000002
00348,-0.6000000000000003
